Type,Centroid_X,Centroid_Y
Streak,624.0,339.5
Star,269.5,30.5
Star,127.5,44.5
Star,238.5,44.5
Star,227.0,68.0
Star,150.0,75.5
Star,388.5,76.0
Star,176.5,91.0
Star,663.5,101.0
Star,24.5,124.0
Star,326.0,153.0
Star,349.5,153.0
Star,732.5,163.5
Star,374.5,175.0
Star,170.5,177.5
Star,124.5,188.0
Star,563.0,198.0
Star,95.0,244.5
Star,547.5,248.0
Star,204.5,258.0
Star,491.5,257.0
Star,42.5,288.0
Star,300.5,295.5
Star,670.0,309.5
Star,621.5,315.0
Star,66.5,330.0
Star,423.0,339.0
Star,188.0,343.0
Star,121.5,356.5
Star,671.0,358.0
Star,612.0,361.5
Star,214.5,363.0
Star,588.0,365.5
Star,442.0,393.0
Star,391.5,397.5
Star,248.0,401.0
Star,664.5,405.0
Star,187.0,407.0
Star,85.0,420.0
Star,49.5,430.0
Star,235.5,447.0
Star,334.5,445.5
Star,364.5,468.0
Star,495.5,506.0
Star,586.5,522.5
Star,28.0,527.0
Star,690.0,537.0
Star,590.0,548.0
Star,134.0,549.5
Star,236.0,549.5
Star,661.0,567.5
Star,704.0,574.5
Star,111.0,606.0
Star,293.0,617.5
Star,211.0,672.0
Star,458.5,676.5
Star,137.5,697.5
Star,356.5,694.0
Star,677.0,706.5
Star,311.5,713.5
Star,556.0,721.5
Star,335.5,735.5
